,season,bowler,wickets
283,2010,PP Chawla,12
793,2014,R Bhatia,12
1205,2018,Mohammed Siraj,12
1084,2017,Kuldeep Yadav,12
772,2014,M Morkel,12
768,2014,L Balaji,12
1226,2018,Sandeep Sharma,12
710,2013,SK Trivedi,12
1235,2018,YS Chahal,12
679,2013,P Kumar,12
661,2013,L Balaji,12
659,2013,KV Sharma,12
366,2011,DL Vettori,12
985,2016,MC Henriques,12
132,2009,Harbhajan Singh,12
2,2008,A Nehra,12
1042,2017,AJ Tye,12
30,2008,GD McGrath,12
581,2012,Shakib Al Hasan,12
1282,2019,KH Pandya,12
559,2012,RA Jadeja,12
1051,2017,BA Stokes,12
1057,2017,CH Morris,12
422,2011,R Vinay Kumar,12
163,2009,PP Chawla,12
1143,2018,A Mishra,12
931,2016,A Zampa,12
237,2010,DE Bollinger,12
214,2010,A Symonds,12
59,2008,PP Ojha,11
78,2008,SM Pollock,11
316,2010,SW Tait,11
134,2009,I Sharma,11
744,2014,DW Steyn,11
1121,2017,SN Thakur,11
1,2008,A Mishra,11
28,2008,DS Kulkarni,11
123,2009,DJ Bravo,11
467,2012,A Ashish Reddy,11
600,2013,A Nehra,11
311,2010,SK Warne,11
883,2015,MC Henriques,11
1000,2016,PP Chawla,11
760,2014,JP Faulkner,11
1270,2019,J Archer,11
42,2008,L Balaji,11
375,2011,IK Pathan,11
374,2011,I Sharma,11
310,2010,SK Trivedi,11
369,2011,DT Christian,11
1010,2016,S Aravind,11
902,2015,RA Jadeja,11
767,2014,Karanveer Singh,11
1255,2019,DJ Bravo,11
46,2008,M Muralitharan,11
21,2008,DJ Bravo,11
1215,2018,RA Jadeja,11
816,2014,Shakib Al Hasan,11
1120,2017,SL Malinga,11
1147,2018,AS Rajpoot,11
471,2012,A Nehra,11
172,2009,RG Sharma,11
863,2015,IC Pandey,11
452,2011,Shakib Al Hasan,11
252,2010,JA Morkel,11
932,2016,AB Dinda,11
893,2015,PP Chawla,11
55,2008,P Kumar,11
688,2013,R Bhatia,11
1241,2019,AD Russell,11
1180,2018,JD Unadkat,11
533,2012,L Balaji,11
1186,2018,KH Pandya,11
343,2011,AC Thomas,11
1066,2017,DT Christian,11
946,2016,CJ Jordan,11
89,2008,VRV Singh,11
683,2013,PP Chawla,11
1190,2018,L Ngidi,11
1217,2018,S Gopal,11
1300,2019,N Saini,11
1054,2017,Basil Thampi,11
819,2014,UT Yadav,11
1018,2016,SP Narine,11
1034,2016,Z Khan,10
1243,2019,AR Patel,10
1036,2017,A Mishra,10
897,2015,R Ashwin,10
867,2015,J Suchith,10
657,2013,KA Pollard,10
167,2009,R Bhatia,10
472,2012,A Singh,10
445,2011,SK Trivedi,10
1329,2019,SP Narine,10
510,2012,GB Hogg,10
440,2011,SB Jakati,10
529,2012,KK Cooper,10
1314,2019,S Curran,10
17,2008,CRD Fernando,10
1306,2019,PP Chawla,10
414,2011,PP Ojha,10
409,2011,P Kumar,10
565,2012,RP Singh,10
1097,2017,Mohammed Siraj,10
921,2015,UT Yadav,10
395,2011,L Balaji,10
587,2012,V Pratap Singh,10
391,2011,KA Pollard,10
1274,2019,JD Unadkat,10
645,2013,IK Pathan,10
29,2008,DW Steyn,10
1238,2019,A Mishra,10
280,2010,P Kumar,10
1082,2017,KH Pandya,10
1003,2016,R Ashwin,10
754,2014,JD Unadkat,10
1122,2017,SP Narine,10
1184,2018,K Gowtham,10
1168,2018,DL Chahar,10
983,2016,M Morkel,10
877,2015,KV Sharma,10
1028,2016,UT Yadav,10
1141,2017,Z Khan,10
884,2015,MG Johnson,10
879,2015,M Morkel,10
1208,2018,P Krishna,10
1212,2018,R Ashwin,10
919,2015,TA Boult,9
282,2010,PJ Sangwan,9
1279,2019,K Paul,9
994,2016,NLTC Perera,9
571,2012,SB Jakati,9
1152,2018,B Laughlin,9
81,2008,Shahid Afridi,9
556,2012,R Sharma,9
830,2015,A Mishra,9
218,2010,AB Dinda,9
960,2016,Harbhajan Singh,9
465,2011,Yuvraj Singh,9
103,2009,A Singh,9
460,2011,WD Parnell,9
476,2012,AB Dinda,9
1151,2018,B Kumar,9
500,2012,DE Bollinger,9
855,2015,GB Hogg,9
552,2012,PP Ojha,9
512,2012,HV Patel,9
517,2012,J Botha,9
7,2008,AB Dinda,9
930,2016,A Nehra,9
546,2012,P Kumar,9
268,2010,M Kartik,9
996,2016,P Kumar,9
706,2013,S Nadeem,9
664,2013,M Kartik,9
335,2011,A Singh,9
171,2009,RE van der Merwe,9
1027,2016,TG Southee,9
751,2014,Imran Tahir,9
326,2010,WPUJC Vaas,9
693,2013,R Sharma,9
168,2009,R Vinay Kumar,9
307,2010,SE Bond,9
766,2014,KW Richardson,9
712,2013,SMSM Senanayake,9
357,2011,BA Bhatt,9
1114,2017,S Badree,9
340,2011,AB Agarkar,8
423,2011,RA Jadeja,8
989,2016,MP Stoinis,8
874,2015,JP Faulkner,8
1078,2017,JP Faulkner,8
738,2014,BW Hilfenhaus,8
417,2011,R Bhatia,8
507,2012,DT Christian,8
1334,2019,UT Yadav,8
1137,2017,Washington Sundar,8
980,2016,KW Richardson,8
1008,2016,RA Jadeja,8
542,2012,MN Samuels,8
273,2010,MF Maharoof,8
873,2015,JP Duminy,8
443,2011,SJ Srivastava,8
1319,2019,S Lamichhane,8
52,2008,Mohammad Asif,8
717,2013,Sandeep Sharma,8
729,2014,A Nehra,8
95,2008,YK Pathan,8
6,2008,AB Agarkar,8
1328,2019,SN Thakur,8
1070,2017,Harbhajan Singh,8
952,2016,DR Smith,8
515,2012,IK Pathan,8
40,2008,Joginder Sharma,8
634,2013,DS Kulkarni,8
222,2010,AD Mathews,8
1037,2017,A Nehra,8
247,2010,Harmeet Singh,8
589,2012,VR Aaron,8
1163,2018,CR Woakes,8
631,2013,DJG Sammy,8
806,2014,S Nadeem,8
906,2015,S Aravind,8
1296,2019,Mohammad Nabi,8
1154,2018,BA Stokes,8
360,2011,CH Gayle,8
570,2012,S Nadeem,8
490,2012,B Kumar,8
562,2012,RJ Harris,8
251,2010,J Theron,8
889,2015,P Kumar,7
1087,2017,MG Johnson,7
982,2016,M Ashwin,7
